Dataset	RunID	Masking	Build	Chance	RunTime	SeqNum	UPNum	AANum	MotNum	Rank	Sig	Pattern	IC	Occ	Support	UP	ExpUP	Prob	Cloud	CloudSeq	CloudUP
interactors_of.O14545	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:04:05	21	19	7677	0	0	0.3	-									
interactors_of.O14545	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:12:54	21	19	7677	0	0	0.3	-									
interactors_of.O14545	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:04:05	21	19	7677	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:59	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:59	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:59	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:59	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:59	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:59	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:59	33	22	9617	0	0	0.3	-									
interactors_of.O14979	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:37	33	22	9617	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:42	17	15	2961	0	0	0.3	-									
interactors_of.O15031	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:01:33	17	15	2961	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:07	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:10:47	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:12:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:07	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:10:47	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:12:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:07	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:10:47	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:12:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:07	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:10:47	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:12:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:07	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:10:47	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:12:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:07	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:09:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:10:47	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:00:42	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:12:49	42	31	10383	0	0	0.3	-									
interactors_of.O15269	2017-12-09	FreqDisComp-5-8	l5w2o2a3	Sig	00:08:07	42	31	10383	0	0	0.3	-									
